"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","221","cy.request() - pass result to the second request","","2026-03-11","passed","2026-03-11","","Network Requests","",""
"","110","Get current version of Cypress being run","Cypress APIs","2026-03-11","passed","2026-03-11","","Cypress.version","",""
"","174","cy.clearAllLocalStorage() - clear all data in localStorage for all origins","","2026-03-11","passed","2026-03-11","","Local Storage / Session Storage","",""
"","232",".dblclick() - double click on a DOM element","","2026-03-11","passed","2026-03-11","","Actions","",""
"","91","invokes a callback function with the current subject","Connectors","2026-03-11","passed","2026-03-11","",".then()","",""
"","208",".each() - iterate over an array of elements","","2026-03-11","passed","2026-03-11","","Connectors","",""
"","196","Cypress.$ - call a jQuery method","","2026-03-11","passed","2026-03-11","","Utilities","",""
"","188","cy.clearCookies() - clear browser cookies for the current domain","","2026-03-11","passed","2026-03-11","","Cookies","",""
"","108","pass your own callback function to should()","Assertions","2026-03-11","passed","2026-03-11","","Explicit Assertions","",""
"","140","cy.location() - get window.location","","2026-03-11","passed","2026-03-11","","Location","",""
"","257","cy.focused() - get the DOM element that has focus","","2026-03-11","passed","2026-03-11","","Misc","",""
"","76","Control what is printed to the Command Log","Cypress APIs","2026-03-11","passed","2026-03-11","","Cypress.log","",""
"","115",".and() - chain multiple assertions together","Assertions","2026-03-11","passed","2026-03-11","","Implicit Assertions","",""
"","87",".spread() - spread an array as individual args to callback function","","2026-03-11","passed","2026-03-11","","Connectors","",""
"","840","cy.screenshot() - take a screenshot","Misc","2026-03-11","passed","2026-03-11","","Cypress.Screenshot","",""
"","193","cy.getCookies() - get browser cookies for the current domain","","2026-03-11","passed","2026-03-11","","Cookies","",""
"","285","can filter for uncompleted tasks","example to-do app","2026-03-11","passed","2026-03-11","","with a checked task","",""
"","234","cy.request() - verify response using BDD syntax","","2026-03-11","passed","2026-03-11","","Network Requests","",""
"","392",".end() - end the command chain","","2026-03-11","passed","2026-03-11","","Misc","",""
"","607",".as() - alias a route for later use","","2026-03-11","passed","2026-03-11","","Aliasing","",""
"","279","cy.fixture() - load a fixture","","2026-03-11","passed","2026-03-11","","Files","",""
"","101","Cypress.minimatch - test out glob patterns against strings","","2026-03-11","passed","2026-03-11","","Utilities","",""
"","3630",".type() - type into a DOM element","","2026-03-11","passed","2026-03-11","","Actions","",""
"","143",".siblings() - get all sibling DOM elements","","2026-03-11","passed","2026-03-11","","Traversal","",""
"","102","cy.url() - get the current URL","","2026-03-11","passed","2026-03-11","","Location","",""
"","240","cy.get() - query DOM elements","","2026-03-11","passed","2026-03-11","","Querying","",""
"","257",".add() - create a custom command","Cypress APIs","2026-03-11","passed","2026-03-11","","Cypress.Commands","",""
"","1002","cy.exec() - execute a system command","","2026-03-11","passed","2026-03-11","","Misc","",""
"","26","cy.stub() matches depending on arguments","","2026-03-11","passed","2026-03-11","","Spies, Stubs, and Clock","",""
"","95","yields the original subject without return","Connectors","2026-03-11","passed","2026-03-11","",".then()","",""
"","448",".blur() - blur off a DOM element","","2026-03-11","passed","2026-03-11","","Actions","",""
"","129",".filter() - get DOM elements that match the selector","","2026-03-11","passed","2026-03-11","","Traversal","",""
"","134","cy.clearAllCookies() - clear all browser cookies","","2026-03-11","passed","2026-03-11","","Cookies","",""
"","2166","cy.scrollTo() - scroll the window or element to a position","","2026-03-11","passed","2026-03-11","","Actions","",""
